iter	Passed	Remaining
0	0	26
1	0	24
2	0	25
3	0	23
4	1	23
5	1	22
6	1	22
7	1	22
8	2	22
9	2	21
10	2	21
11	2	21
12	3	21
13	3	20
14	3	20
15	3	20
16	4	20
17	4	20
18	4	19
19	4	19
20	5	19
21	5	19
22	5	18
23	5	18
24	6	18
25	6	18
26	6	17
27	6	17
28	7	17
29	7	17
30	7	16
31	7	16
32	8	16
33	8	16
34	8	15
35	8	15
36	8	15
37	9	15
38	9	14
39	9	14
40	9	14
41	9	13
42	10	13
43	10	13
44	10	13
45	10	12
46	11	12
47	11	12
48	11	12
49	11	11
50	12	11
51	12	11
52	12	11
53	12	10
54	12	10
55	13	10
56	13	10
57	13	9
58	13	9
59	14	9
60	14	9
61	14	9
62	15	8
63	15	8
64	15	8
65	15	8
66	16	7
67	16	7
68	16	7
69	16	7
70	17	6
71	17	6
72	17	6
73	18	6
74	18	6
75	19	6
76	19	5
77	20	5
78	20	5
79	20	5
80	21	5
81	21	4
82	22	4
83	22	4
84	22	4
85	22	3
86	23	3
87	23	3
88	23	2
89	24	2
90	24	2
91	24	2
92	24	1
93	25	1
94	25	1
95	25	1
96	25	0
97	26	0
98	26	0
99	26	0
